SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.DE_DENI020_PM1_dataGroup1,20210126000000,20210126000000,PM10,16.875,µg/m3,background,suburban,66.0000,DENI020,Wolfsburg,1204073.9138,6880225.3842,Wolfsburg,True
SPO-BETN052_00005_100,20210126000000,20210126000000,PM10,15.04444,µg/m3,background,suburban,27.0000,BETN052,44N052 - ZWEVEGEM,369858.3758,6588612.1539,Zwevegem,True
SPO-BETN054_00005_100,20210126000000,20210126000000,PM10,16.32222,µg/m3,background,rural,135.0000,BETN054,42N054 - WALSHOUTEM,568081.0178,6570455.4360,Landen,True
SPO-BETN060_00005_100,20210126000000,20210126000000,PM10,4.993222,µg/m3,background,rural,0.0000,BETN060,43N060 - HAVINNES,384900.9906,6553773.6483,HAVINNES,True
SPO-BETN063_00005_100,20210126000000,20210126000000,PM10,6.493222,µg/m3,background,rural,145.0000,BETN063,43N063 - CORROY L.G.,519671.4077,6560569.7244,Chaumont-Gistoux,True
SPO-BETR012_00005_100,20210126000000,20210126000000,PM10,10.72222,µg/m3,background,suburban,101.0000,BETR012,41R012 - UCCLE,485199.7996,6585401.9168,Ukkel=Uccle,True
SPO-BETR020_00005_100,20210126000000,20210126000000,PM10,18.82222,µg/m3,background,suburban,12.0000,BETR020,42R020 - VILVOORDE,493893.4962,6610932.3235,Vilvoorde,True
SPO-BETR221_00005_100,20210126000000,20210126000000,PM10,10.10433,µg/m3,background,urban,65.0000,BETR221,43R221 - LIEGE,626487.7588,6561097.4371,Herstal,True
SPO-BETR222_00005_100,20210126000000,20210126000000,PM10,15.21544,µg/m3,background,suburban,65.0000,BETR222,43R222 - SERAING,620074.3673,6553193.6715,Liège,True
SPO-BETR731_00005_100,20210126000000,20210126000000,PM10,15.37778,µg/m3,industrial,rural,6.0000,BETR731,44R731 - EVERGEM,416279.7056,6643379.7390,Evergem,True
SPO-BETR740_00005_100,20210126000000,20210126000000,PM10,16.47778,µg/m3,industrial,rural,5.0000,BETR740,44R740 - ST.KRUIS-WI,423986.4887,6647894.1505,Gent,True
SPO-BETR750_00005_100,20210126000000,20210126000000,PM10,15.41667,µg/m3,industrial,rural,6.0000,BETR750,44R750 - ZELZATE,425565.5130,6656048.5975,Zelzate,True
SPO-BETR801_00005_100,20210126000000,20210126000000,PM10,19.37778,µg/m3,background,urban,6.0000,BETR801,42R801 - BORGERHOUT,493348.0622,6658464.7288,Antwerpen,True
SPO-BETR802_00005_100,20210126000000,20210126000000,PM10,17.98889,µg/m3,traffic,urban,6.0000,BETR802,42R802 - BORGERHOUT,493344.8544,6658439.1767,Antwerpen,True
SPO-BETR803_00005_100,20210126000000,20210126000000,PM10,19.04445,µg/m3,background,urban,0.0000,BETR803,42R803 - ANTWERPEN,492973.2640,6661835.7684,Antwerpen,True
SPO-BETR804_00005_100,20210126000000,20210126000000,PM10,20.37778,µg/m3,traffic,suburban,6.0000,BETR804,42R804 - ANTWERPEN,494475.2883,6657867.9554,"Antwerpen ",True
SPO-BG0038A_00005_100,20210126000000,20210126000000,PM10,27.8225,µg/m3,background,urban,212.0000,BG0038A,AMS Shumen,2998773.3122,5352885.0463,,True
SPO-BG0040A_00005_100,20210126000000,20210126000000,PM10,21.07125,µg/m3,background,urban,534.0000,BG0040A,AMS Nadezhda-Sofia,2594965.5329,5271312.3258,,True
SPO-BG0041A_00005_500,20210126000000,20210126000000,PM10,6.34375,µg/m3,background,urban,103.0000,BG0041A,AMS Rakovski-Dimitrovgrad,2849049.8216,5169429.0894,,True
SPO-BG0043A_00005_500,20210126000000,20210126000000,PM10,9.7875,µg/m3,background,urban,363.0000,BG0043A,AMS Railway Station-Vratsa,2622399.3309,5343681.9877,,True
