SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.10.ZOE2.65497.5.2,20210126000000,20210126000000,PM10,6.529445,µg/m3,background,rural-remote,899.0000,AT0ZOE2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,1607608.0575,6080047.3465,4462 Reichraming,True
SPO.CZ_ABREA_PM10_1317407,20210126000000,20210126000000,PM10,15.875,µg/m3,background,urban,300.0000,CZ0ABRE,Praha 6-Brevnov,1600787.2422,6460902.6680,,True
SPO.CZ_AKALA_PM10_41236,20210126000000,20210126000000,PM10,14.625,µg/m3,traffic,urban,203.0000,CZ0AKAL,Praha 8-Karlin,1607681.5436,6462612.2749,Praha,True
SPO.CZ_AKOBA_PM10_40311,20210126000000,20210126000000,PM10,13.75,µg/m3,background,suburban,269.0000,CZ0AKOB,Praha 8-Kobylisy,1610523.4087,6467463.7008,Praha,True
SPO.CZ_ALEGA_PM10_867416,20210126000000,20210126000000,PM10,16.25,µg/m3,traffic,urban,219.0000,CZ0ALEG,Praha 2-Legerova,1606415.1307,6458821.5652,Praha,True
SPO.CZ_ALIBA_PM10_40285,20210126000000,20210126000000,PM10,13.2375,µg/m3,background,suburban,301.0000,CZ0ALIB,Praha 4-Libus,1608113.9437,6447541.0596,Praha,True
SPO.CZ_APRUA_PM10_194125,20210126000000,20210126000000,PM10,19.125,µg/m3,traffic,urban,267.0000,CZ0APRU,Praha 10-Prumyslova,1618342.7043,6457071.7245,Praha,True
SPO.CZ_AREPA_PM10_783591,20210126000000,20210126000000,PM10,13.625,µg/m3,background,urban,190.0000,CZ0AREP,Praha 1-n. Republiky,1606253.4452,6461541.3301,Praha,True
SPO.CZ_CHVOA_PM10_1337502,20210126000000,20210126000000,PM10,6.75,µg/m3,background,rural-regional,818.0000,CZ0CHVO,Hojna Voda,1638999.3866,6228192.3768,Horní Stropnice,True
SPO.CZ_CPRAA_PM10_987035,20210126000000,20210126000000,PM10,7.75,µg/m3,background,suburban,583.0000,CZ0CPRA,Prachatice,1558522.3428,6277591.3907,Prachatice,True
SPO.CZ_CTABA_PM10_41169,20210126000000,20210126000000,PM10,17.5,µg/m3,traffic,urban,400.0000,CZ0CTAB,Tabor,1633768.1213,6344929.1226,Tábor,True
SPO.CZ_EMTPA_PM10_1369853,20210126000000,20210126000000,PM10,21,µg/m3,background,urban,350.0000,CZ0EMTP,Moravska Trebova - Piaristicka.,1855330.9332,6404642.1735,Moravská Třebová,True
SPO.CZ_EPAUA_PM10_41095,20210126000000,20210126000000,PM10,25.625,µg/m3,background,urban,239.0000,CZ0EPAU,Pardubice Dukla,1754790.2312,6450439.5644,Pardubice,True
SPO.CZ_MPSTA_PM10_40805,20210126000000,20210126000000,PM10,22.125,µg/m3,background,urban,218.0000,CZ0MPST,Prostejov,1905202.4846,6354623.0982,Prostějov,True
SPO.CZ_PKUJA_PM10_1337478,20210126000000,20210126000000,PM10,17.5,µg/m3,background,rural-nearcity,385.0000,CZ0PKUJ,Kamenny Ujezd,1516008.7047,6398269.6335,Kamenný Újezd,True
SPO.CZ_PPLAA_PM10_40952,20210126000000,20210126000000,PM10,19.75,µg/m3,traffic,urban,340.0000,CZ0PPLA,Plzen-Slovany,1491935.0750,6400068.9337,Plzeň,True
SPO.CZ_PPLEA_PM10_954056,20210126000000,20210126000000,PM10,17.125,µg/m3,traffic,urban,306.0000,CZ0PPLE,Plzen-stred,1489570.4106,6402632.2422,Plzeň,True
SPO.CZ_PPLLA_PM10_865012,20210126000000,20210126000000,PM10,16.75,µg/m3,background,urban,360.0000,CZ0PPLL,Plzen-Lochotin,1488143.5860,6406560.5380,Plzeň,True
SPO.CZ_PPLVA_PM10_40750,20210126000000,20210126000000,PM10,18.75,µg/m3,background,suburban,348.0000,CZ0PPLV,Plzen-Doubravka,1494283.9211,6406300.1721,Plzeň,True
SPO.CZ_TOFFA_PM10_40561,20210126000000,20210126000000,PM10,22.125,µg/m3,background,urban,220.0000,CZ0TOFF,Ostrava-Fifejdy,2033104.5641,6418472.4075,Ostrava,True
SPO.CZ_TOPRA_PM10_40997,20210126000000,20210126000000,PM10,22.25,µg/m3,industrial,urban,207.0000,CZ0TOPR,Ostrava-Privoz,2033778.2715,6421419.4403,Ostrava,True
SPO.CZ_TOVKA_PM10_40865,20210126000000,20210126000000,PM10,22.125,µg/m3,background,urban,255.0000,CZ0TOVK,Opava-Katerinky,1993679.8312,6436754.2202,Opava,True
SPO.CZ_TOZRA_PM10_40593,20210126000000,20210126000000,PM10,20.75,µg/m3,background,urban,235.0000,CZ0TOZR,Ostrava-Zabreh,2031266.8905,6411028.1294,Ostrava,True
SPO.CZ_TSTDA_PM10_40663,20210126000000,20210126000000,PM10,23.125,µg/m3,background,rural-nearcity,231.0000,CZ0TSTD,Studenka,2013692.3191,6398086.3750,Studénka,True
SPO.CZ_TTROA_PM10_40880,20210126000000,20210126000000,PM10,17.125,µg/m3,background,urban,320.0000,CZ0TTRO,Trinec-Kosmos,2079203.0988,6388996.1431,Třinec,True
SPO.CZ_UULMA_PM10_212840,20210126000000,20210126000000,PM10,20,µg/m3,background,urban,147.0000,CZ0UULM,Usti n.L.-mesto,1563266.6406,6561562.8309,Ústí nad Labem,True
SPO.CZ_ZTNVA_PM10_1368992,20210126000000,20210126000000,PM10,20.5,µg/m3,background,rural-regional,280.0000,CZ0ZTNV,Tesnovice,1938134.7413,6318989.9142,,True
SPO.CZ_ZUHRA_PM10_41146,20210126000000,20210126000000,PM10,25.5875,µg/m3,traffic,urban,191.0000,CZ0ZUHR,Uherske Hradiste,1944400.6667,6286399.1664,Uherské Hradiště,True
SPO.CZ_ZVMZA_PM10_1369059,20210126000000,20210126000000,PM10,21.125,µg/m3,background,urban,290.0000,CZ0ZVMZ,Valasske Mezirici,2000074.6379,6355342.5600,,True
SPO.CZ_ZZLNA_PM10_41228,20210126000000,20210126000000,PM10,21.375,µg/m3,background,suburban,258.0000,CZ0ZZLN,Zlin,1966700.9574,6314473.5264,Zlín,True
SPO.DE_DEBB055_PM1_dataGroup1,20210126000000,20210126000000,PM10,22.625,µg/m3,background,suburban,33.0000,DEBB055,Brandenburg a.d. Havel,1397315.9782,6876506.7108,Brandenburg an der Havel,True
SPO.DE_DEBB060_PM1_dataGroup1,20210126000000,20210126000000,PM10,24.2375,µg/m3,traffic,urban,20.0000,DEBB060,"Eberswalde, Breite Straße",1538681.4902,6952068.7739,Eberswalde,True
SPO.DE_DEBB063_PM1_dataGroup1,20210126000000,20210126000000,PM10,0,µg/m3,background,suburban,22.0000,DEBB063,Wittenberge,1306719.3899,6982766.7076,Wittenberge,True
SPO.DE_DEBB064_PM1_dataGroup1,20210126000000,20210126000000,PM10,25.3125,µg/m3,background,urban,75.0000,DEBB064,Cottbus,1595705.9012,6754481.1206,Cottbus,True
SPO.DE_DEBB065_PM1_dataGroup1,20210126000000,20210126000000,PM10,19.225,µg/m3,background,rural-regional,111.0000,DEBB065,Lütte (Belzig),1398327.4271,6835320.3004,Bad Belzig,True
SPO.DE_DEBE010_PM1_dataGroup1,20210126000000,20210126000000,PM10,26.67375,µg/m3,background,urban,35.0000,DEBE010,Berlin Wedding,1486040.1728,6898916.1543,Berlin,True
SPO.DE_DEBE032_PM1_dataGroup1,20210126000000,20210126000000,PM10,23.3975,µg/m3,background,rural-nearcity,50.0000,DEBE032,Berlin Grunewald (3.5 m),1472216.2957,6886141.0462,Berlin,True
SPO.DE_DEBE034_PM1_dataGroup1,20210126000000,20210126000000,PM10,27.17875,µg/m3,background,urban,35.0000,DEBE034,Berlin Neukölln,1495114.7150,6889112.9413,Berlin,True
SPO.DE_DEBE051_PM1_dataGroup1,20210126000000,20210126000000,PM10,30.1175,µg/m3,background,suburban,60.0000,DEBE051,Berlin Buch,1500929.4886,6917448.1407,Berlin,True
SPO.DE_DEBE056_PM1_dataGroup1,20210126000000,20210126000000,PM10,26.07,µg/m3,background,rural-nearcity,35.0000,DEBE056,Berlin Friedrichshagen,1519182.6568,6881483.1624,Berlin,True
SPO.DE_DEBE061_PM1_dataGroup1,20210126000000,20210126000000,PM10,28.98,µg/m3,traffic,urban,45.0000,DEBE061,Berlin Schildhornstraße,1482580.8083,6884390.3009,Berlin,True
SPO.DE_DEBW022_PM1_dataGroup1,20210126000000,20210126000000,PM10,11.7,µg/m3,industrial,suburban,136.0000,DEBW022,Kehl,868549.9554,6203587.7755,Kehl,True
SPO.DE_DEBW023_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.35,µg/m3,background,suburban,275.0000,DEBW023,Weil am Rhein,849731.8408,6038609.4630,Weil am Rhein,True
SPO.DE_DEBW024_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.225,µg/m3,background,suburban,302.0000,DEBW024,Ludwigsburg,1021110.5346,6257780.6065,Ludwigsburg,True
SPO.DE_DEBW027_PM1_dataGroup1,20210126000000,20210126000000,PM10,6.7125,µg/m3,background,urban,385.0000,DEBW027,Reutlingen,1024954.1740,6188577.0411,Reutlingen,True
SPO.DE_DEBW029_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.9625,µg/m3,background,suburban,424.0000,DEBW029,Aalen,1123914.0843,6249095.3786,Aalen,True
SPO.DE_DEBW031_PM1_dataGroup1,20210126000000,20210126000000,PM10,4.6,µg/m3,background,rural-regional,904.0000,DEBW031,Schwarzwald-Süd,864343.3032,6075285.7105,MünstertalSchwarzwal,True
SPO_PL0194A_5_002,20210126000000,20210126000000,PM10,21.9703,µg/m3,background,urban,114.0000,PL0194A,Wrocław - Korzeniowskiego,1895687.4386,6644211.1798,Wrocław,True
SPO_PL0205A_5_001,20210126000000,20210126000000,PM10,18.57778,µg/m3,traffic,urban,59.0000,PL0205A,Włocławek OKRZEI,2121673.1293,6920071.7443,Włocławek,True
SPO_PL0209A_5_001,20210126000000,20210126000000,PM10,17.09466,µg/m3,background,urban,22.0000,PL0209A,Gorzów Wlkp. ul. Kosynierów Gdyńskich,1695247.4559,6934720.6404,Gorzów Wielkopolski,True
SPO_PL0242A_5_001,20210126000000,20210126000000,PM10,23.62291,µg/m3,background,urban,255.0000,PL0242A,"Zabrze, ul. M. Curie-Skłodowskiej 34",2089731.2260,6501269.5625,Zabrze,True
SPO_PL0243A_5_001,20210126000000,20210126000000,PM10,14.05295,µg/m3,background,rural,291.0000,PL0243A,"Złoty Potok, Leśniczówka",2166143.3735,6570311.7934,Złoty Potok,True
SPO_PL0245A_5_001,20210126000000,20210126000000,PM10,20.69323,µg/m3,background,urban,84.0000,PL0245A,Poznan-Dabrowskiego,1878771.2175,6876484.2593,Poznań,True
SPO_PL0248A_5_001,20210126000000,20210126000000,PM10,19.46928,µg/m3,background,urban,10.0000,PL0248A,Szczecin_Andrzejewskiego,1632316.3214,7053781.2598,Szczecin,True
SPO_PL0495A_5_001,20210126000000,20210126000000,PM10,14.15426,µg/m3,background,urban,203.0000,PL0495A,Rzeszów-Nowe Miasto,2450206.0011,6450475.1872,Rzeszów,True
SPO_PL0496A_5_001,20210126000000,20210126000000,PM10,1.083333,µg/m3,background,urban,145.0000,PL0496A,Białystok-Warszawska,2580579.9378,7006951.9387,Białystok,True
SPO_PL0501A_5_001,20210126000000,20210126000000,PM10,26.0562,µg/m3,background,urban,223.0000,PL0501A,"Kraków, ul. Bujaka",2220733.5612,6448107.4461,Kraków,True
SPO_PL0502A_5_001,20210126000000,20210126000000,PM10,24.00299,µg/m3,background,urban,228.0000,PL0502A,"Tarnów, ul. Bitwy pod Studziankami",2338173.1750,6449769.4894,Tarnów,True
SPO_PL0543A_5_001,20210126000000,20210126000000,PM10,18.28889,µg/m3,background,urban,206.0000,PL0543A,Łódź-Gdańska 16,2165264.2835,6759618.3093,Łódź,True
SPO_PL0544A_5_002,20210126000000,20210126000000,PM10,27.11111,µg/m3,background,urban,223.0000,PL0544A,Radomsko-Rolna2,2165018.7127,6633231.5817,Radomsko,True
SPO_PL0550A_5_001,20210126000000,20210126000000,PM10,14.12396,µg/m3,background,urban,305.0000,PL0550A,"Nowy Sącz, ul. Nadbrzeżna",2305916.7940,6380601.2300,Nowy Sącz,True
SPO_PL0552A_5_001,20210126000000,20210126000000,PM10,28.97716,µg/m3,background,urban,340.0000,PL0552A,"Trzebinia, os. Związku Walki Młodych",2168221.3744,6473928.0557,Trzebinia,True
SPO_PL0554A_5_002,20210126000000,20210126000000,PM10,9.942468,µg/m3,background,urban,216.0000,PL0554A,Jarosław-PWSTE-WIOS,2524144.0729,6448368.6667,Jarosław,True
SPO_PL0558A_5_001,20210126000000,20210126000000,PM10,10.59717,µg/m3,background,urban,163.0000,PL0558A,AM12 Kościerzyna Targowa,2001063.6931,7193047.5107,Kościerzyna,True
SPO_PL0580A_5_001,20210126000000,20210126000000,PM10,18.58333,µg/m3,traffic,urban,23.0000,PL0580A,Grudziądz Airpointer,2088591.7597,7074818.2677,Grudziądz,True
SPO_PL0582A_5_001,20210126000000,20210126000000,PM10,16.10778,µg/m3,background,urban,50.0000,PL0582A,Toruń Airpointer,2071174.9348,6985305.7911,Toruń,True
SPO_PL0585A_5_001,20210126000000,20210126000000,PM10,18.23269,µg/m3,background,urban,345.0000,PL0585A,Jelenia Góra - Ogińskiego,1755019.4546,6605995.2841,58-506 Jelenia Góra,True
SPO_PL0591A_5_001,20210126000000,20210126000000,PM10,28.37635,µg/m3,background,urban,160.0000,PL0591A,"Żary, ul. Szymanowskiego 8",1684019.8834,6735769.1901,Żary,True
SPO_PL0677A_5_001,20210126000000,20210126000000,PM10,15.47775,µg/m3,background,urban,167.0000,PL0677A,Mielec-Biernackiego-WIOS,2386794.7456,6498241.6079,,True
SPO_PL0678A_5_001,20210126000000,20210126000000,PM10,10.74012,µg/m3,background,suburban,367.0000,PL0678A,Rymanów-Zdrój-Samorząd,2432442.8612,6368111.6154,,True
SPO_PL0681A_5_001,20210126000000,20210126000000,PM10,4.203211,µg/m3,background,urban,133.0000,PL0681A,WIOŚ Ełk,2487818.0740,7137734.4342,,True
SPO_PL0682A_5_001,20210126000000,20210126000000,PM10,12.9559,µg/m3,background,urban,117.0000,PL0682A,WIOŚ Ostróda Piłsudskiego,2222926.8891,7112533.3171,,True
SPO_PL0683A_5_002,20210126000000,20210126000000,PM10,34.14444,µg/m3,background,urban,63.0000,PL0683A,Nakło nad Notecią,1958281.1638,7008320.3329,,True
SPO_PL0694A_5_002,20210126000000,20210126000000,PM10,29.51585,µg/m3,background,urban,241.0000,PL0694A,"Oświęcim, ul. J. Bema",2142374.2132,6452007.2062,,True
SPO_PL0746A_5_001,20210126000000,20210126000000,PM10,17.65009,µg/m3,background,urban,335.0000,PL0746A,"Zawiercie, ul. K.I.Gałczyńskiego 3",2163940.9174,6532104.4689,,True
SPO_PL0747A_5_001,20210126000000,20210126000000,PM10,18.27215,µg/m3,background,urban,225.0000,PL0747A,Lubań - Mieszka II,1700465.2231,6642372.4513,,True
SPO_PL0754A_5_002,20210126000000,20210126000000,PM10,23.67965,µg/m3,background,urban,373.0000,PL0754A,"Olkusz, ul. Cegielniana",2177859.4159,6495605.6850,,True
SPO_PL0755A_5_002,20210126000000,20210126000000,PM10,11.30231,µg/m3,background,urban,153.0000,PL0755A,WIOŚ Biskupiec-Mobilna,2333021.8655,7143818.9357,,True
SPO_PL0758A_5_002,20210126000000,20210126000000,PM10,11.6249,µg/m3,background,urban,170.0000,PL0758A,CHojnice - mobilna,1953302.0656,7113534.7297,,True
SPO_PL0759A_5_001,20210126000000,20210126000000,PM10,26.76337,µg/m3,background,urban,193.0000,PL0759A,"Racibórz, Wojska Polskiego 8",2027824.8987,6462075.0169,,True
SPO_PL0763A_5_001,20210126000000,20210126000000,PM10,18,µg/m3,background,urban,104.0000,PL0763A,Kutno-1 Maja 7,2154448.7044,6842133.7879,,True
SPO_PL0764A_5_001,20210126000000,20210126000000,PM10,24.65556,µg/m3,background,urban,174.0000,PL0764A,Łask-Narutowicza 28,2129708.1702,6726196.5972,,True
SPO-BA0038A_00005_100,20210126000000,20210126000000,PM10,17.56821,µg/m3,industrial,suburban,336.0000,BA0038A,ZENICA - TETOVO,1991628.1417,5500389.8678,Zenica,True
SPO-BA0039A_00005_100,20210126000000,20210126000000,PM10,21.4959,µg/m3,background,urban,332.0000,BA0039A,ZENICA - RADAKOVO,1996181.1089,5495699.6922,Zenica,True
SPO-BA0040A_00005_100,20210126000000,20210126000000,PM10,21.77263,µg/m3,background,urban,421.0000,BA0040A,JAJCE - HARMANI,1922253.8351,5518676.5664,Jajce,True
SPO-BA0041A_00005_100,20210126000000,20210126000000,PM10,44.7755,µg/m3,background,suburban,361.0000,BA0041A,GORAZDE - RASADNIK,2112565.6365,5413222.4784,Gorazde,True
SPO-BA0042A_00005_100,20210126000000,20210126000000,PM10,14.33333,µg/m3,background,urban,512.0000,BA0042A,SARAJEVO - OTOKA,2044237.7331,5442011.6282,Novi Grad Sarajevo,True
GB_SamplingPoint_164,20210126000000,20210126000000,PM10,8.255555,µg/m3,background,suburban,13.0000,GB0608A,London Bexley - UKA00238,20572.5098,6704146.7525,,True
GB_SamplingPoint_76462,20210126000000,20210126000000,PM10,12.75067,µg/m3,traffic,urban,9.0000,GB1062A,Greenock A8 Roadside - UKA00621,-527033.3349,7547291.4112,,True
HR_DOC_TYPE_D_SPO_414,20210126000000,20210126000000,PM10,35.2125,µg/m3,background,urban,0.0000,HR0009A,ZAGREB-3,1781832.0280,5742761.5263,Zagreb,True
HR_DOC_TYPE_D_SPO_425,20210126000000,20210126000000,PM10,6.325,µg/m3,background,urban,0.0000,HR0005A,RIJEKA-2,1612297.0818,5672166.1814,Rijeka,True
HR_DOC_TYPE_D_SPO_431,20210126000000,20210126000000,PM10,21.025,µg/m3,traffic,urban,0.0000,HR0003A,OSIJEK-1,2081537.4930,5709924.9956,Osijek,True
HR_DOC_TYPE_D_SPO_446,20210126000000,20210126000000,PM10,17.1875,µg/m3,background,rural-regional,0.0000,HR0011A,KOPAČKI RIT,2096662.4104,5732089.3107,Lug,True
SP_01059009_10_47,20210126000000,20210126000000,PM10,3.333333,µg/m3,traffic,urban,518.0000,ES1492A,TRES MARZO,-296977.0243,5290089.8299,VITORIA-GASTEIZ,True
SP_01059012_10_47,20210126000000,20210126000000,PM10,4,µg/m3,traffic,urban,50.0000,ES1673A,LOS HERRAN,-296264.4549,5288198.0766,VITORIA-GASTEIZ,True
SP_02003001_10_49,20210126000000,20210126000000,PM10,10.25,µg/m3,background,suburban,686.0000,ES1535A,ALBACETE,-206174.8289,4718706.9088,ALBACETE,True
SP_04032005_10_49,20210126000000,20210126000000,PM10,6.345,µg/m3,industrial,urban,5.0000,ES1845A,PZA. DEL CASTILLO,-210989.3969,4438657.9703,CARBONERAS,True
SP_07015001_10_49,20210126000000,20210126000000,PM10,21.5,µg/m3,background,suburban,30.0000,ES1828A,CIUTADELLA DE MENORCA,429301.3899,4867314.1694,CIUTADELLA DE MENORCA,True
SP_07026001_10_49,20210126000000,20210126000000,PM10,26.625,µg/m3,industrial,urban,25.0000,ES1246A,CAN MISSES,157439.1558,4709331.6729,EIVISSA,True
SP_07032002_10_49,20210126000000,20210126000000,PM10,14.475,µg/m3,industrial,urban,55.0000,ES1095A,POUS,473441.7943,4850100.8074,MAHÓN,True
SP_07032003_10_49,20210126000000,20210126000000,PM10,17.5,µg/m3,industrial,suburban,42.0000,ES2092A,PORT DE MAO,473887.0723,4850347.4562,MAHÓN,True
SP_08184006_10_47,20210126000000,20210126000000,PM10,9.5,µg/m3,background,urban,171.0000,ES1684A,Rubí (ca n'Oriol),227369.7354,5085196.9739,RUBÍ,True
SP_08194008_10_47,20210126000000,20210126000000,PM10,11.25,µg/m3,traffic,urban,7.0000,ES1148A,Sant Adrià de Besòs (Olímpic),247374.1724,5075321.7027,SANT ADRIÀ DE BESÒS,True
SP_11022005_10_49,20210126000000,20210126000000,PM10,15.54,µg/m3,industrial,urban,1.0000,ES1072A,LA LÍNEA,-595376.7118,4322572.6548,LÍNEA DE LA CONCEPCIÓN (LA),True
SP_11028001_10_49,20210126000000,20210126000000,PM10,22.1275,µg/m3,background,urban,1.0000,ES1516A,RIO SAN PEDRO,-692982.7545,4372802.5149,PUERTO REAL,True
SP_11031001_10_49,20210126000000,20210126000000,PM10,8.325,µg/m3,background,suburban,35.0000,ES1593A,SAN FERNANDO,-690522.5938,4364184.3335,SAN FERNANDO,True
SP_11033004_10_49,20210126000000,20210126000000,PM10,17.92,µg/m3,industrial,suburban,51.0000,ES1169A,CARTEYA (S9),-600165.6763,4329388.7164,SAN ROQUE,True
SP_12040010_10_46,20210126000000,20210126000000,PM10,26,µg/m3,industrial,suburban,10.0000,ES1445A,CASTELLÓ-GRAU,1175.0385,4863318.8415,CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,True
SP_14021007_10_49,20210126000000,20210126000000,PM10,11.9625,µg/m3,background,urban,119.0000,ES1799A,LEPANTO,-530141.2638,4564266.2956,CÓRDOBA,True
SP_14021009_10_49,20210126000000,20210126000000,PM10,9.23,µg/m3,traffic,urban,120.0000,ES2047A,AVDA. AL-NASIR,-532118.2979,4564264.8850,CÓRDOBA,True
SP_14026002_10_49,20210126000000,20210126000000,PM10,9.564285,µg/m3,industrial,rural,432.0000,ES0926A,POBLADO,-548448.8672,4594713.6516,ESPIEL,True
SP_14047001_10_49,20210126000000,20210126000000,PM10,8.387143,µg/m3,industrial,suburban,685.0000,ES1972A,OBEJO,-534526.1385,4598154.9046,OBEJO,True
SP_15030027_10_49,20210126000000,20210126000000,PM10,38.6,µg/m3,background,suburban,25.0000,ES1957A,TORRE DE HÉRCULES,-936107.8620,5370420.6105,CORUÑA (A),True
SP_18087010_10_49,20210126000000,20210126000000,PM10,11.9625,µg/m3,background,urban,666.0000,ES1924A,PALACIO CONGRESOS,-400761.2988,4462225.6723,GRANADA,True
SP_18140001_10_49,20210126000000,20210126000000,PM10,0,µg/m3,background,urban,50.0000,ES1370A,MOTRIL,-391544.0450,4403361.2573,MOTRIL,True
SP_19130001_10_49,20210126000000,20210126000000,PM10,0,µg/m3,background,urban,700.0000,ES1537A,GUADALAJARA,-353059.7838,4957895.5132,GUADALAJARA,True
SP_21041012_10_49,20210126000000,20210126000000,PM10,21.46125,µg/m3,industrial,suburban,31.0000,ES0785A,ROMERALEJO,-770225.1228,4476423.7468,HUELVA,True
SP_21041015_10_49,20210126000000,20210126000000,PM10,10.79125,µg/m3,industrial,urban,17.0000,ES1328A,MARISMAS DEL TITÁN,-772801.0558,4474371.9029,HUELVA,True
SP_21041016_10_49,20210126000000,20210126000000,PM10,21.21875,µg/m3,traffic,urban,18.0000,ES1340A,POZO DULCE,-772016.2534,4474480.9888,HUELVA,True
SP_21041017_10_49,20210126000000,20210126000000,PM10,17.58125,µg/m3,industrial,urban,48.0000,ES1658A,CAMPUS DEL CARMEN,-770845.1723,4477015.4571,HUELVA,True
SP_21050001_10_49,20210126000000,20210126000000,PM10,31.40375,µg/m3,industrial,suburban,52.0000,ES1258A,MOGUER,-760739.5890,4478425.6240,MOGUER,True
SP_23097001_10_49,20210126000000,20210126000000,PM10,9.7625,µg/m3,industrial,urban,691.0000,ES1718A,VILLANUEVA DEL ARZOBISPO,-335096.1576,4604091.4967,VILLANUEVA DEL ARZOBISPO,True
SPO.DE_DESN079_PM1_dataGroup1,20210126000000,20210126000000,PM10,19.605,µg/m3,background,rural-regional,148.0000,DESN079,Niesky,1641932.5443,6671925.9663,Quitzdorf am See,True
SPO.DE_DESN083_PM1_dataGroup1,20210126000000,20210126000000,PM10,16.6775,µg/m3,traffic,urban,327.0000,DESN083,Chemnitz-Leipziger Str.,1436396.2440,6594052.1428,Chemnitz,True
SPO.DE_DESN084_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.84125,µg/m3,traffic,urban,150.0000,DESN084,Dresden-Bergstr.,1528595.6103,6625946.1455,Dresden,True
SPO.DE_DESN091_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.25,µg/m3,traffic,urban,267.0000,DESN091,Zwickau-Werdauer Str.,1390004.2914,6571984.8308,Zwickau,True
SPO.DE_DESN092_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.0825,µg/m3,background,urban,112.0000,DESN092,Dresden-Winckelmannstr.,1528439.4291,6627682.7658,Dresden,True
SPO.DE_DESN093_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.94,µg/m3,background,rural-regional,430.0000,DESN093,Brockau,1359334.7699,6552268.0629,Netzschkau,True
SPO.DE_DEST002_PM1_dataGroup1,20210126000000,20210126000000,PM10,19.99,µg/m3,background,suburban,47.0000,DEST002,Burg,1320779.3755,6848793.5016,Burg,True
SPO.DE_DEST092_PM1_dataGroup1,20210126000000,20210126000000,PM10,18.70375,µg/m3,traffic,urban,73.0000,DEST092,Wittenberg/Dessauer Strasse,1402433.0013,6776197.8926,Wittenberg,True
SPO.DE_DEST095_PM1_dataGroup1,20210126000000,20210126000000,PM10,19.01625,µg/m3,traffic,urban,118.0000,DEST095,Aschersleben,1274549.2816,6756759.1185,Aschersleben,True
SPO.DE_DEST098_PM1_dataGroup1,20210126000000,20210126000000,PM10,12.5925,µg/m3,background,rural-regional,419.0000,DEST098,Unterharz / Friedrichsbrunn,1229344.1062,6739318.0072,Harzgerode,True
SPO.DE_DEST102_PM1_dataGroup1,20210126000000,20210126000000,PM10,29.61,µg/m3,traffic,urban,118.0000,DEST102,Halle/Paracelsusstr.,1333753.7735,6709281.3931,Halle (Saale),True
SPO.DE_DEST103_PM1_dataGroup1,20210126000000,20210126000000,PM10,24.61625,µg/m3,traffic,urban,53.0000,DEST103,Magdeburg Schleinufer,1294942.7896,6821989.9324,Magdeburg,True
SPO.DE_DEST104_PM1_dataGroup1,20210126000000,20210126000000,PM10,17.36625,µg/m3,background,rural,72.0000,DEST104,Domäne Bobbe,1323745.9287,6770761.5817,Osternienburger Land,True
SPO.DE_DETH027_PM1_dataGroup1,20210126000000,20210126000000,PM10,0,µg/m3,background,rural-remote,840.0000,DETH027,Neuhaus,1239497.2230,6533313.6924,Neuhaus am Rennweg,True
SPO.DE_DETH036_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.65875,µg/m3,background,urban,265.0000,DETH036,Greiz Mollbergstr.,1358676.5377,6560643.8045,Greiz,True
SPO.DE_DETH041_PM1_dataGroup1,20210126000000,20210126000000,PM10,12.31625,µg/m3,background,urban,140.0000,DETH041,Jena Dammstr.,1290979.0365,6609541.3581,Jena,True
SPO.DE_DETH042_PM1_dataGroup1,20210126000000,20210126000000,PM10,11.8825,µg/m3,background,rural-remote,420.0000,DETH042,Possen,1209729.8345,6680469.6306,Sondershausen,True
SPO.DE_DETH043_PM1_dataGroup1,20210126000000,20210126000000,PM10,13.11625,µg/m3,traffic,urban,195.0000,DETH043,Erfurt Bergstr.,1226668.7648,6618618.5445,Erfurt,True
SPO.DE_DETH061_PM1_dataGroup1,20210126000000,20210126000000,PM10,9.4275,µg/m3,background,rural-remote,357.0000,DETH061,Hummelshain,1298122.5196,6584515.4544,Trockenborn-Wolfersdorf,True
SPO.DE_DEUB029_PM1_dataGroup1,20210126000000,20210126000000,PM10,6.688571,µg/m3,background,rural,937.0000,DEUB029,Schmücke,1198859.0410,6560328.6279,Suhl,True
SPO.DE_DEUB030_PM1_dataGroup1,20210126000000,20210126000000,PM10,14.68714,µg/m3,background,rural-regional,65.0000,DEUB030,Neuglobsow,1450677.9780,7009178.0415,Stechlin,True
